,ID,City_Code,Region_Code,Accomodation_Type,Reco_Insurance_Type,Upper_Age,Lower_Age,Is_Spouse,Health Indicator,Holding_Policy_Duration,Holding_Policy_Type,Reco_Policy_Cat,Reco_Policy_Premium,Response
16481,16482,C2,1306,Rented,Individual,48,48,No,X1,3.0,4.0,17,10944.0,0
16482,16483,C2,2278,Owned,Individual,51,51,No,X3,13.0,3.0,14,14080.0,0
16483,16484,C4,431,Owned,Individual,22,22,No,X1,2.0,3.0,15,9488.0,1
16485,16486,C14,821,Owned,Individual,43,43,No,X6,6.0,2.0,20,16488.0,0
16486,16487,C23,177,Owned,Individual,36,36,No,X1,7.0,3.0,20,10494.0,0
16487,16488,C3,265,Owned,Individual,32,32,No,X9,11.0,4.0,13,6240.0,1
16492,16493,C19,4056,Owned,Individual,52,52,No,X1,14.0,3.0,1,15176.0,0
16493,16494,C5,3159,Rented,Individual,56,56,No,X1,1.0,1.0,13,13100.0,1
16494,16495,C12,2983,Rented,Individual,24,24,No,X1,2.0,1.0,20,7240.0,0
16496,16497,C25,1167,Owned,Joint,74,73,Yes,X1,10.0,3.0,16,30078.0,0
16497,16498,C20,549,Rented,Individual,41,41,No,X1,5.0,2.0,22,7672.0,1
16499,16500,C1,3832,Owned,Individual,50,50,No,X4,6.0,3.0,18,12564.0,0
16500,16501,C1,1920,Owned,Individual,75,75,No,X1,14.0,3.0,18,24228.0,1
16502,16503,C1,68,Rented,Individual,52,52,No,X1,10.0,1.0,16,13360.0,0
16503,16504,C3,931,Rented,Individual,22,22,No,X1,2.0,3.0,16,11200.0,0
16504,16505,C1,408,Owned,Joint,68,66,Yes,X5,3.0,3.0,7,31632.0,0
16505,16506,C20,317,Owned,Individual,32,32,No,,8.0,3.0,6,5820.0,1
16508,16509,C7,3229,Owned,Individual,49,49,No,X1,8.0,3.0,14,9168.0,0
16509,16510,C6,1064,Owned,Individual,53,53,No,X2,1.0,3.0,6,10494.0,0
16513,16514,C1,3341,Owned,Individual,60,60,No,X1,3.0,4.0,18,18690.0,0
16517,16518,C2,2167,Owned,Individual,48,48,No,X2,14.0,3.0,18,15860.0,1
16519,16520,C3,56,Owned,Individual,67,67,No,X2,3.0,1.0,15,20570.0,1
16523,16524,C12,104,Rented,Joint,49,47,Yes,X3,1.0,1.0,12,16808.4,0
16524,16525,C2,2137,Owned,Joint,53,30,No,X4,6.0,3.0,11,19629.0,0
16526,16527,C3,3194,Rented,Individual,70,70,No,X3,1.0,4.0,14,16884.0,0
16528,16529,C1,232,Owned,Joint,70,69,Yes,X1,14.0,2.0,21,31660.8,1
16529,16530,C27,811,Owned,Individual,42,42,No,X2,8.0,1.0,4,12958.0,0
16530,16531,C7,3911,Owned,Individual,26,26,No,X3,4.0,1.0,12,7020.0,0
16531,16532,C10,1676,Rented,Individual,38,38,No,X1,,,19,8208.0,1
16534,16535,C2,1034,Owned,Individual,54,54,No,X1,6.0,3.0,18,11484.0,0
16536,16537,C1,997,Rented,Individual,61,61,No,X5,,,19,14688.0,1
16538,16539,C14,2234,Rented,Individual,32,32,No,X1,5.0,3.0,16,11808.0,1
16540,16541,C2,3018,Owned,Individual,47,47,No,X2,5.0,4.0,17,12540.0,1
16541,16542,C1,469,Rented,Individual,28,28,No,X3,5.0,3.0,18,8442.0,0
16542,16543,C3,41,Rented,Individual,48,48,No,X2,3.0,1.0,16,12460.0,0
16543,16544,C13,1606,Owned,Joint,59,20,Yes,X1,7.0,4.0,4,19622.4,0
16544,16545,C2,4064,Owned,Individual,56,56,No,X1,8.0,3.0,21,16248.0,0
16545,16546,C1,1693,Rented,Individual,37,37,No,X1,5.0,1.0,19,9590.0,0
16546,16547,C3,28,Owned,Individual,35,35,No,X1,,,16,10768.0,1
16547,16548,C8,4913,Owned,Joint,55,53,Yes,X4,10.0,3.0,8,24141.0,0
16549,16550,C1,1457,Owned,Individual,27,27,No,X5,6.0,3.0,5,7500.0,0
16550,16551,C6,1585,Rented,Individual,54,54,No,X1,3.0,3.0,18,16744.0,0
16551,16552,C1,4,Owned,Joint,74,70,Yes,X1,2.0,4.0,18,27014.4,0
16553,16554,C1,313,Rented,Individual,46,46,No,X6,14.0,1.0,20,13020.0,0
16557,16558,C6,143,Owned,Individual,50,50,No,X4,14.0,3.0,22,15652.0,1
16558,16559,C9,1376,Owned,Individual,48,48,No,X1,10.0,3.0,21,15048.0,0
16560,16561,C2,2216,Owned,Joint,41,38,Yes,,7.0,3.0,22,14532.0,1
16564,16565,C3,2787,Rented,Individual,23,23,No,,,,12,3798.0,1
16566,16567,C12,639,Rented,Individual,30,30,No,X3,2.0,1.0,16,9114.0,0
16569,16570,C18,277,Rented,Individual,23,23,No,X1,1.0,3.0,2,10176.0,0
16571,16572,C1,790,Owned,Joint,66,62,Yes,X2,8.0,3.0,19,21403.2,0
16578,16579,C1,1138,Rented,Individual,47,47,No,,14.0,3.0,5,10656.0,1
16579,16580,C2,1355,Owned,Individual,50,50,No,X5,7.0,4.0,22,15744.0,1
16582,16583,C2,2189,Owned,Individual,28,28,No,X3,4.0,3.0,22,6930.0,0
16584,16585,C3,2070,Rented,Individual,69,69,No,,4.0,3.0,16,14872.0,1
16585,16586,C18,2443,Rented,Individual,33,33,No,,4.0,4.0,22,11214.0,1
16587,16588,C4,306,Rented,Joint,36,28,Yes,X5,,,22,23020.8,1
16588,16589,C2,1372,Owned,Individual,42,42,No,X4,14.0,3.0,3,8988.0,0
16589,16590,C28,3581,Rented,Individual,25,25,No,,5.0,3.0,5,9702.0,1
16590,16591,C3,258,Rented,Individual,22,22,No,X2,,,8,8244.0,1
16591,16592,C4,4511,Owned,Individual,75,75,No,X1,14.0,1.0,20,22202.0,0
16592,16593,C1,232,Rented,Joint,32,29,Yes,X2,6.0,1.0,17,8805.0,0
16594,16595,C9,418,Owned,Individual,75,75,No,X2,14.0,3.0,21,20774.0,1
16595,16596,C12,152,Owned,Individual,66,66,No,X1,2.0,2.0,22,19140.0,1
16596,16597,C19,1311,Owned,Joint,29,28,Yes,X5,3.0,3.0,19,11760.0,0
16597,16598,C9,515,Owned,Individual,26,26,No,X4,4.0,4.0,19,11700.0,0
16598,16599,C4,3032,Rented,Individual,22,22,No,X4,,,22,4254.0,1
16599,16600,C6,1595,Rented,Individual,58,58,No,X3,2.0,1.0,13,13464.0,0
16600,16601,C1,3395,Rented,Individual,73,73,No,X2,1.0,2.0,17,25308.0,0
16601,16602,C8,1092,Rented,Joint,63,55,Yes,X1,11.0,4.0,22,20160.0,0
16606,16607,C11,1011,Owned,Individual,52,52,No,X1,2.0,2.0,17,17030.0,1
16607,16608,C4,870,Rented,Individual,53,53,No,X1,2.0,1.0,1,12342.0,0
16609,16610,C25,787,Owned,Individual,27,27,No,X4,3.0,1.0,12,7518.0,0
16610,16611,C1,3884,Rented,Individual,25,25,No,X4,,,19,9730.0,1
16611,16612,C7,998,Owned,Joint,75,30,Yes,X2,,,21,29568.0,1
16615,16616,C13,1257,Owned,Joint,75,58,No,X2,14.0,2.0,1,28998.0,0
16619,16620,C2,3552,Rented,Individual,43,43,No,X1,9.0,1.0,15,9856.0,0
16621,16622,C26,1049,Owned,Joint,56,23,Yes,X1,5.0,1.0,17,25832.8,0
16622,16623,C1,1327,Owned,Individual,53,53,No,X4,14.0,2.0,17,17836.0,1
16625,16626,C3,1940,Owned,Joint,62,52,Yes,X2,14.0,3.0,21,25872.0,0
16629,16630,C4,105,Rented,Individual,23,23,No,X1,,,19,6760.0,1
16630,16631,C5,1448,Rented,Individual,33,33,No,X5,,,18,14000.0,1
16631,16632,C14,3407,Owned,Individual,53,53,No,X1,3.0,2.0,10,16276.0,0
16632,16633,C23,185,Owned,Individual,70,70,No,X4,14.0,3.0,17,15106.0,1
16633,16634,C19,2020,Owned,Individual,75,75,No,X5,4.0,3.0,1,20900.0,0
16634,16635,C25,5400,Owned,Individual,35,35,No,X2,12.0,3.0,19,6780.0,0
16638,16639,C27,6168,Owned,Individual,49,49,No,X1,9.0,3.0,18,14472.0,0
16640,16641,C3,835,Rented,Individual,60,60,No,X3,1.0,3.0,20,19350.0,0
16643,16644,C2,1115,Owned,Individual,58,58,No,X2,,,3,12940.0,1
16644,16645,C24,1894,Owned,Individual,62,62,No,,14.0,3.0,14,15048.0,1
16646,16647,C2,3952,Owned,Joint,71,69,Yes,X2,14.0,4.0,22,28537.6,1
16648,16649,C27,3745,Owned,Individual,26,26,No,X1,4.0,3.0,20,4696.0,0
16651,16652,C14,3764,Owned,Individual,51,51,No,X2,5.0,1.0,13,11924.0,1
16652,16653,C4,4122,Rented,Individual,61,61,No,X1,12.0,3.0,9,13112.0,0
16654,16655,C1,1728,Owned,Individual,50,50,No,X1,1.0,3.0,19,14040.0,1
16658,16659,C6,1594,Owned,Individual,67,67,No,X2,14.0,2.0,17,16800.0,0
16662,16663,C17,2293,Owned,Individual,50,50,No,X3,6.0,2.0,17,14568.0,1
16663,16664,C1,89,Owned,Joint,74,73,Yes,X5,4.0,4.0,7,30492.0,0
16664,16665,C15,251,Owned,Individual,75,75,No,X5,1.0,4.0,19,25080.0,0
16669,16670,C20,1491,Rented,Individual,35,35,No,X3,2.0,3.0,22,8260.0,1
16674,16675,C3,1046,Owned,Individual,57,57,No,X3,3.0,3.0,14,19080.0,0
16675,16676,C7,1779,Rented,Joint,42,16,No,X4,14.0,3.0,21,23372.8,0
16677,16678,C2,1656,Owned,Joint,70,67,Yes,X2,12.0,3.0,17,30651.0,0
16680,16681,C1,826,Rented,Joint,50,43,No,,,,16,18340.0,1
16681,16682,C2,867,Owned,Individual,59,59,No,X6,3.0,3.0,15,12860.0,1
16683,16684,C1,1436,Owned,Individual,75,75,No,X3,6.0,2.0,17,19590.0,0
16685,16686,C1,869,Rented,Individual,61,61,No,X2,14.0,3.0,13,18452.0,0
16686,16687,C12,465,Owned,Individual,45,45,No,X2,6.0,3.0,12,9558.0,0
16691,16692,C1,38,Rented,Individual,22,22,No,,,,19,10368.0,1
16692,16693,C3,2149,Owned,Individual,75,75,No,X1,14.0,3.0,18,20160.0,0
16693,16694,C7,1797,Owned,Individual,54,54,No,X4,9.0,4.0,22,11940.0,0
16694,16695,C3,797,Rented,Individual,50,50,No,X4,14.0,3.0,16,12640.0,0
16695,16696,C29,2067,Owned,Individual,32,32,No,X3,4.0,3.0,18,5540.0,1
16697,16698,C24,3998,Owned,Individual,55,55,No,X3,5.0,3.0,1,10800.0,0
16698,16699,C1,462,Owned,Individual,47,47,No,X2,8.0,2.0,20,11740.0,1
16699,16700,C3,1382,Rented,Individual,36,36,No,X3,3.0,3.0,22,14080.0,0
16700,16701,C9,1376,Rented,Individual,24,24,No,X2,3.0,1.0,21,4092.0,0
16701,16702,C10,691,Rented,Individual,52,52,No,X1,2.0,1.0,16,12700.0,0
16703,16704,C1,269,Owned,Individual,68,68,No,X2,2.0,4.0,19,19520.0,0
16704,16705,C13,289,Owned,Individual,34,34,No,X2,3.0,3.0,21,11380.0,0
16706,16707,C34,61,Rented,Individual,24,24,No,X4,1.0,3.0,22,10336.0,1
16707,16708,C1,1112,Owned,Individual,66,66,No,X1,14.0,1.0,19,16716.0,0
16712,16713,C10,1074,Owned,Individual,65,65,No,X2,8.0,1.0,16,20896.0,0
16713,16714,C3,3194,Owned,Individual,43,43,No,X3,13.0,3.0,14,9774.0,0
16714,16715,C1,1663,Owned,Individual,73,73,No,X4,14.0,3.0,16,15262.0,0
16716,16717,C6,1258,Rented,Joint,56,43,Yes,X3,3.0,2.0,22,20592.0,0
16718,16719,C1,2912,Owned,Joint,43,38,Yes,,14.0,1.0,19,16884.0,1
16719,16720,C1,381,Rented,Joint,26,24,Yes,X1,2.0,2.0,19,7392.0,0
16720,16721,C17,2229,Rented,Joint,42,16,Yes,,,,20,18452.0,1
16721,16722,C17,2027,Owned,Individual,70,70,No,X6,10.0,2.0,17,19516.0,0
16722,16723,C8,3063,Owned,Individual,45,45,No,X1,1.0,3.0,22,12672.0,0
16723,16724,C3,55,Rented,Joint,34,31,Yes,X1,1.0,3.0,12,15932.0,1
16724,16725,C4,1172,Rented,Joint,68,46,No,X2,10.0,3.0,18,26748.8,1
16726,16727,C6,3960,Rented,Individual,42,42,No,X1,2.0,1.0,13,8344.0,1
16727,16728,C2,521,Owned,Individual,46,46,No,X7,3.0,1.0,17,12186.0,0
16728,16729,C1,812,Owned,Joint,63,61,Yes,X1,,,22,26208.0,1
16730,16731,C3,310,Owned,Joint,54,26,No,X3,14.0,3.0,12,24640.0,0
16732,16733,C15,1191,Owned,Individual,75,75,No,X2,14.0,3.0,18,18788.0,0
16733,16734,C11,1011,Owned,Individual,54,54,No,X3,14.0,1.0,16,15840.0,0
16737,16738,C34,391,Rented,Individual,55,55,No,X3,2.0,1.0,21,17264.0,0
16738,16739,C16,309,Rented,Individual,34,34,No,X4,1.0,2.0,8,11646.0,0
16742,16743,C22,538,Rented,Individual,23,23,No,X6,3.0,1.0,9,8640.0,0
16743,16744,C2,2002,Rented,Individual,46,46,No,X5,9.0,2.0,22,16852.0,0
16744,16745,C1,232,Owned,Joint,68,55,Yes,X4,3.0,3.0,17,25290.0,0
16745,16746,C29,112,Rented,Individual,28,28,No,X1,3.0,2.0,17,9936.0,1
16751,16752,C26,2326,Owned,Individual,64,64,No,X1,,,18,17498.0,1
16752,16753,C3,28,Owned,Individual,41,41,No,X2,3.0,3.0,4,8932.0,1
16754,16755,C7,3781,Owned,Individual,55,55,No,X2,,,20,17490.0,1
16755,16756,C11,1433,Owned,Individual,44,44,No,,,,15,9200.0,1
16757,16758,C10,1185,Rented,Individual,54,54,No,X2,14.0,1.0,18,18368.0,0
16758,16759,C8,4153,Rented,Individual,33,33,No,X2,5.0,3.0,18,12380.0,0
16760,16761,C2,3629,Owned,Individual,55,55,No,X3,6.0,3.0,3,14060.0,0
16762,16763,C12,2297,Owned,Individual,23,23,No,X3,2.0,3.0,4,6200.0,1
16763,16764,C20,1089,Rented,Individual,53,53,No,X3,1.0,3.0,22,11200.0,0
16766,16767,C9,4578,Owned,Individual,41,41,No,X4,1.0,1.0,17,14872.0,0
16767,16768,C4,7,Owned,Individual,44,44,No,X1,14.0,3.0,18,9424.0,0
16768,16769,C1,1094,Owned,Individual,71,71,No,X1,6.0,3.0,18,27324.0,0
16769,16770,C1,1600,Owned,Individual,25,25,No,X1,,,21,10192.0,1
16770,16771,C1,1961,Rented,Individual,65,65,No,,,,19,16492.0,1
16771,16772,C17,1948,Rented,Joint,31,21,Yes,X1,3.0,2.0,1,8865.0,0
16773,16774,C24,3107,Owned,Individual,21,21,No,X3,1.0,3.0,19,5656.0,0
16775,16776,C1,1993,Rented,Individual,53,53,No,X1,,,16,10620.0,1
16776,16777,C9,2274,Rented,Joint,66,64,Yes,X2,5.0,4.0,22,25350.0,0
16778,16779,C3,957,Owned,Joint,59,55,Yes,X2,7.0,3.0,22,19456.0,0
16782,16783,C4,262,Owned,Individual,45,45,No,X1,7.0,1.0,6,13420.0,0
16783,16784,C6,272,Owned,Individual,75,75,No,X6,2.0,1.0,22,17696.0,0
16784,16785,C10,2409,Rented,Individual,43,43,No,X1,2.0,1.0,16,14200.0,0
16785,16786,C1,8,Rented,Joint,61,22,No,X1,7.0,4.0,22,22948.8,1
16786,16787,C2,3997,Owned,Individual,40,40,No,X3,8.0,3.0,14,11754.0,0
16789,16790,C16,79,Rented,Joint,69,65,Yes,,3.0,1.0,16,31056.0,1
16790,16791,C9,10,Rented,Individual,31,31,No,X4,5.0,1.0,12,5900.0,0
16792,16793,C1,25,Owned,Individual,50,50,No,,,,19,15624.0,1
16793,16794,C2,4292,Rented,Individual,39,39,No,X6,10.0,3.0,13,14366.0,1
16795,16796,C3,336,Rented,Joint,47,19,No,X3,2.0,1.0,21,27888.0,0
16796,16797,C2,463,Rented,Individual,40,40,No,X4,10.0,2.0,13,11860.0,0
16799,16800,C11,407,Owned,Joint,42,39,Yes,X3,6.0,1.0,16,17550.0,0
16800,16801,C3,1513,Owned,Individual,56,56,No,X3,14.0,3.0,22,14898.0,1
16801,16802,C1,327,Owned,Individual,61,61,No,X3,3.0,3.0,18,15912.0,0
16802,16803,C5,1435,Rented,Individual,40,40,No,,,,12,16416.0,1
16803,16804,C19,1231,Owned,Individual,34,34,No,X2,6.0,1.0,1,5580.0,0
16805,16806,C3,972,Owned,Joint,45,43,Yes,X2,6.0,3.0,21,19140.0,1
16806,16807,C2,419,Owned,Joint,39,35,Yes,X1,2.0,4.0,3,20256.0,0
16809,16810,C3,128,Owned,Individual,47,47,No,X2,,,19,11104.0,1
16810,16811,C10,345,Owned,Joint,65,57,Yes,X1,5.0,3.0,21,28308.0,0
16811,16812,C2,307,Owned,Individual,71,71,No,X3,8.0,4.0,21,22716.0,0
16812,16813,C3,384,Owned,Individual,75,75,No,X2,14.0,3.0,16,23364.0,0
16814,16815,C1,123,Owned,Individual,46,46,No,,7.0,3.0,18,13552.0,1
16817,16818,C23,366,Rented,Joint,28,26,Yes,,,,17,7859.2,1
16818,16819,C15,1621,Rented,Individual,22,22,No,,,,15,10608.0,1
16822,16823,C2,2122,Owned,Individual,26,26,No,X3,6.0,2.0,18,4816.0,0
16823,16824,C33,1179,Owned,Individual,26,26,No,X1,3.0,3.0,15,7952.0,1
16828,16829,C10,2520,Owned,Individual,31,31,No,X4,7.0,3.0,18,6210.0,0
16830,16831,C10,1438,Owned,Individual,43,43,No,,2.0,3.0,18,14278.0,1
16832,16833,C20,958,Rented,Individual,22,22,No,X3,1.0,2.0,1,5510.0,0
16833,16834,C16,689,Rented,Individual,44,44,No,X2,4.0,3.0,16,10350.0,0
16834,16835,C2,3062,Owned,Individual,58,58,No,X1,8.0,3.0,3,14472.0,1
16835,16836,C1,39,Owned,Joint,64,55,Yes,X5,2.0,4.0,17,21907.2,0
16836,16837,C3,3891,Rented,Individual,50,50,No,X6,,,12,14280.0,1
16839,16840,C4,953,Rented,Individual,21,21,No,X2,,,15,4792.0,1
16840,16841,C5,1477,Owned,Individual,48,48,No,X2,12.0,4.0,10,15432.0,1
16841,16842,C2,2869,Rented,Individual,49,49,No,X2,1.0,1.0,13,16172.0,0
16845,16846,C2,158,Rented,Joint,62,29,No,X3,7.0,1.0,22,24656.8,0
16846,16847,C4,294,Rented,Individual,27,27,No,X1,5.0,1.0,18,11772.0,0
16847,16848,C1,1099,Rented,Individual,36,36,No,X1,13.0,3.0,16,8582.0,0
16848,16849,C21,5744,Owned,Joint,36,34,Yes,X5,14.0,3.0,14,10694.4,0
16850,16851,C2,1500,Owned,Individual,32,32,No,X1,5.0,3.0,3,10016.0,0
16851,16852,C7,116,Owned,Joint,42,35,Yes,X3,14.0,3.0,21,12230.4,0
16855,16856,C2,3849,Owned,Individual,66,66,No,X4,12.0,3.0,22,18536.0,0
16856,16857,C2,3915,Owned,Joint,61,57,Yes,X5,7.0,3.0,22,27675.0,0
16858,16859,C27,1059,Rented,Individual,44,44,No,X2,11.0,3.0,20,15384.0,0
16859,16860,C1,327,Rented,Joint,56,43,No,X1,10.0,4.0,17,21577.6,0
16860,16861,C18,3888,Rented,Individual,55,55,No,X1,5.0,1.0,1,16548.0,0
16861,16862,C2,1834,Owned,Individual,65,65,No,X2,6.0,3.0,3,16584.0,1
16862,16863,C1,63,Owned,Individual,43,43,No,X4,3.0,3.0,18,14542.0,0
16863,16864,C10,765,Owned,Individual,46,46,No,X2,14.0,4.0,22,14832.0,0
16864,16865,C10,584,Rented,Individual,61,61,No,X1,14.0,2.0,13,16172.0,0
16865,16866,C1,1577,Rented,Joint,75,67,No,X1,5.0,3.0,22,33314.4,0
16866,16867,C13,3281,Owned,Individual,22,22,No,,,,14,9504.0,1
16867,16868,C3,28,Rented,Individual,34,34,No,X4,5.0,3.0,18,9114.0,1
16869,16870,C6,5705,Owned,Individual,62,62,No,X2,14.0,2.0,17,15678.0,0
16871,16872,C3,1513,Rented,Individual,48,48,No,X2,13.0,1.0,16,15096.0,0
16872,16873,C8,4313,Owned,Individual,45,45,No,X2,1.0,3.0,15,11440.0,1
16874,16875,C6,231,Rented,Individual,24,24,No,,,,20,8946.0,1
16875,16876,C8,1092,Owned,Individual,75,75,No,,5.0,3.0,13,18690.0,1
16876,16877,C18,2670,Owned,Individual,49,49,No,X4,1.0,1.0,22,10304.0,1
16877,16878,C1,5105,Owned,Individual,68,68,No,X1,4.0,1.0,17,22644.0,0
16878,16879,C2,1171,Owned,Joint,49,47,Yes,X4,7.0,4.0,22,20913.2,0
16879,16880,C7,1779,Owned,Individual,33,33,No,,,,20,8028.0,1
16880,16881,C3,1506,Rented,Individual,33,33,No,X1,9.0,3.0,17,7572.0,0
16881,16882,C1,488,Owned,Individual,57,57,No,X1,13.0,1.0,22,12260.0,0
16883,16884,C17,914,Owned,Individual,75,75,No,X1,2.0,3.0,1,15932.0,0
16885,16886,C14,753,Owned,Individual,68,68,No,X4,9.0,2.0,20,17130.0,0
16886,16887,C3,245,Rented,Individual,35,35,No,X4,3.0,3.0,18,10980.0,0
16888,16889,C18,3367,Owned,Joint,73,21,Yes,X2,14.0,4.0,20,35251.2,0
16889,16890,C7,594,Rented,Individual,28,28,No,X4,5.0,2.0,13,8162.0,0
16891,16892,C6,167,Owned,Individual,75,75,No,X2,6.0,2.0,15,21356.0,0
16892,16893,C10,206,Owned,Joint,67,66,Yes,X1,14.0,3.0,18,30976.0,0
16893,16894,C1,4624,Owned,Joint,47,44,Yes,X4,14.0,3.0,16,21084.8,1
16894,16895,C8,278,Owned,Joint,60,23,No,X3,14.0,2.0,16,27264.0,0
16896,16897,C3,1982,Owned,Individual,47,47,No,X4,8.0,1.0,16,12760.0,0
16897,16898,C1,790,Owned,Individual,44,44,No,X4,5.0,1.0,22,10626.0,1
16898,16899,C9,157,Rented,Individual,48,48,No,X2,2.0,1.0,4,16944.0,0
16899,16900,C1,2942,Owned,Individual,52,52,No,X1,,,15,10314.0,1
16901,16902,C13,4061,Rented,Individual,23,23,No,,1.0,2.0,22,6180.0,1
16902,16903,C2,1060,Owned,Joint,44,41,Yes,X4,,,22,22935.0,1
16903,16904,C2,1189,Owned,Individual,28,28,No,X2,,,22,7920.0,1
16904,16905,C4,1414,Owned,Individual,75,75,No,X4,3.0,4.0,8,17220.0,0
16906,16907,C11,3303,Owned,Individual,56,56,No,X1,,,21,14894.0,1
16907,16908,C1,183,Owned,Individual,59,59,No,X2,1.0,3.0,22,15340.0,0
16908,16909,C3,346,Owned,Joint,74,72,Yes,X1,5.0,1.0,15,26166.4,0
16909,16910,C2,154,Rented,Individual,40,40,No,X2,,,17,13580.0,1
16910,16911,C15,1549,Owned,Joint,73,69,Yes,X3,2.0,3.0,2,22495.2,0
16911,16912,C18,3525,Owned,Individual,37,37,No,X2,12.0,2.0,20,9984.0,0
16912,16913,C1,3151,Rented,Individual,30,30,No,X1,8.0,1.0,16,12960.0,0
16915,16916,C5,385,Rented,Individual,59,59,No,X3,5.0,2.0,20,18592.0,0
16918,16919,C1,1065,Rented,Individual,69,69,No,X2,5.0,1.0,20,16406.0,1
16919,16920,C2,4309,Rented,Individual,51,51,No,X2,1.0,1.0,19,14120.0,0
16920,16921,C2,2364,Owned,Individual,75,75,No,X1,6.0,4.0,17,19096.0,1
16921,16922,C24,3515,Owned,Joint,34,30,Yes,X4,1.0,1.0,15,11916.8,1
16922,16923,C12,288,Owned,Joint,43,42,Yes,X1,4.0,1.0,1,13216.0,0
16923,16924,C2,654,Owned,Individual,62,62,No,X2,3.0,1.0,22,18480.0,0
16925,16926,C1,1260,Owned,Joint,68,59,Yes,,14.0,1.0,17,29988.0,1
16927,16928,C6,31,Owned,Individual,27,27,No,X1,5.0,1.0,13,8672.0,1
16928,16929,C3,4060,Rented,Joint,52,33,Yes,X2,6.0,1.0,19,28403.2,0
16929,16930,C9,2406,Rented,Individual,29,29,No,X9,,,12,7164.0,1
16930,16931,C1,1527,Owned,Individual,43,43,No,X1,3.0,3.0,18,13464.0,1
16931,16932,C10,532,Rented,Individual,36,36,No,X3,,,22,9814.0,1
16933,16934,C11,662,Owned,Individual,53,53,No,X1,,,17,11600.0,1
16934,16935,C8,1886,Owned,Individual,63,63,No,X1,14.0,3.0,22,16128.0,0
16935,16936,C7,1797,Owned,Joint,34,26,No,X1,2.0,1.0,19,20160.0,0
16937,16938,C7,641,Owned,Individual,50,50,No,X1,2.0,1.0,2,10818.0,0
16938,16939,C2,2496,Owned,Individual,75,75,No,X6,14.0,3.0,16,18480.0,0
16940,16941,C4,2549,Rented,Individual,39,39,No,X1,7.0,3.0,22,6948.0,0
16941,16942,C1,614,Rented,Individual,71,71,No,X1,9.0,1.0,16,23168.0,0
16942,16943,C3,230,Rented,Joint,31,16,Yes,X1,1.0,3.0,18,15976.8,1
16943,16944,C2,489,Rented,Individual,65,65,No,X2,,,18,17052.0,1
16944,16945,C5,788,Owned,Individual,51,51,No,X4,4.0,3.0,9,17864.0,0
16946,16947,C26,1988,Rented,Individual,50,50,No,X1,3.0,4.0,2,16560.0,0
16947,16948,C4,1031,Rented,Individual,48,48,No,X2,1.0,1.0,16,13600.0,0
16949,16950,C1,4,Owned,Individual,61,61,No,X1,3.0,3.0,21,16432.0,0
16951,16952,C1,633,Owned,Individual,58,58,No,X3,12.0,2.0,2,16272.0,0
16952,16953,C7,3437,Owned,Joint,47,37,Yes,X2,4.0,3.0,14,18117.0,0
16953,16954,C8,1092,Rented,Individual,25,25,No,X1,,,16,11754.0,1
16956,16957,C21,5019,Owned,Joint,65,23,Yes,X2,8.0,3.0,14,21985.6,0
16957,16958,C8,3774,Rented,Individual,37,37,No,X2,8.0,2.0,1,11500.0,0
16960,16961,C7,3143,Owned,Individual,54,54,No,X2,10.0,3.0,21,14088.0,0
16961,16962,C8,1886,Rented,Joint,75,19,No,X3,2.0,3.0,5,33558.0,1
16962,16963,C2,1538,Owned,Individual,27,27,No,X1,,,22,6640.0,1
16964,16965,C6,1197,Rented,Individual,26,26,No,X5,1.0,2.0,1,8560.0,0
16965,16966,C4,4888,Owned,Joint,72,55,Yes,,14.0,3.0,14,29920.0,1
16966,16967,C1,24,Owned,Joint,65,61,Yes,X1,1.0,4.0,22,22383.2,1
16971,16972,C2,2167,Rented,Individual,50,50,No,X1,3.0,1.0,3,15290.0,0
16974,16975,C1,448,Owned,Individual,57,57,No,X2,3.0,2.0,16,14352.0,0
16977,16978,C2,4181,Owned,Individual,53,53,No,X3,11.0,1.0,2,14592.0,0
16979,16980,C2,1073,Rented,Individual,26,26,No,X3,1.0,3.0,11,7560.0,0
16980,16981,C16,79,Owned,Individual,62,62,No,X2,3.0,1.0,19,12958.0,0
16981,16982,C2,23,Owned,Individual,75,75,No,X4,2.0,3.0,22,22270.0,1
16982,16983,C1,1121,Owned,Joint,61,60,Yes,X2,7.0,4.0,8,24336.0,0
16983,16984,C13,626,Owned,Joint,75,73,Yes,X1,8.0,3.0,18,28944.0,0
16986,16987,C26,88,Owned,Joint,59,58,Yes,X1,8.0,1.0,21,25305.6,0
16989,16990,C4,4882,Owned,Individual,69,69,No,X4,4.0,4.0,7,18112.0,0
16990,16991,C1,244,Owned,Individual,43,43,No,X1,1.0,3.0,22,12980.0,1
16993,16994,C2,710,Owned,Joint,59,53,Yes,X5,14.0,3.0,21,20576.0,0
16995,16996,C17,5124,Owned,Individual,75,75,No,X3,3.0,4.0,15,19712.0,1
17000,17001,C2,2899,Owned,Individual,56,56,No,X2,5.0,3.0,11,16944.0,0
17001,17002,C13,4033,Owned,Individual,29,29,No,X2,2.0,1.0,10,4864.0,0
17003,17004,C2,2152,Owned,Joint,75,74,Yes,X2,4.0,4.0,22,32334.0,0
17006,17007,C1,3964,Rented,Joint,35,34,Yes,X4,1.0,4.0,17,14040.0,0
